"replication","spearman_corr","top10_overlap"
703,0.993450603998271,0.9
704,0.985402158830151,0.9
705,0.997724015472494,0.9
706,0.974557102346149,0.9
707,0.998303735626251,0.9
708,0.999904774245545,1
709,0.961344395421475,0.9
710,0.997653530614991,0.9
711,0.98730222411764,0.9
712,0.957957028443844,0.9
713,0.989408582207771,0.9
714,0.991238518621886,0.9
715,0.946457495139037,0.8
716,0.991216803590029,0.9
717,0.998644234445451,0.9
718,0.990799590191071,0.9
719,0.973206142577339,0.8
720,0.974491779258513,0.9
721,0.977797269886519,0.9
722,0.978458154421643,0.8
723,0.992252539412783,0.9
724,0.884607744648313,0.6
725,0.99930529697264,1
726,0.989853918352904,0.9
727,0.990351406172907,0.9
728,0.975223504635269,0.9
729,0.992234918198407,0.9
730,0.988257151543156,0.9
731,0.959352842212883,0.9
732,0.963055611128633,0.9
733,0.99715693275531,0.9
734,0.978936063114562,0.9
735,0.997309115970374,1
736,0.982930739015932,0.9
737,0.856431066877314,0.5
738,0.997880826481232,0.9
739,0.862687309948973,0.6
740,0.904161596859366,0.7
741,0.992996368249918,0.9
742,0.98091373294213,0.9
743,0.989103681801451,0.9
744,0.997186657430065,0.9
745,0.992070631522964,0.9
746,0.999604501632899,1
747,0.996748440967508,0.9
748,0.978444449032684,0.8
749,0.946557704671295,0.8
750,0.98935233671542,0.9
751,0.992158915586907,0.9
752,0.996316810211333,0.9
753,0.991157710224647,0.9
754,0.966946517656457,0.8
755,0.937078381297448,0.8
756,0.991857575021875,0.9
757,0.99586542233601,0.9
758,0.992319998405191,0.9
759,0.999596669982066,1
760,0.99781603736979,0.9
761,0.96607524650121,0.8
762,0.973548599309248,0.9
763,0.997787380647421,0.9
764,0.993697300999532,0.9
765,0.999541314450036,1
766,0.999133000654299,1
767,0.988712989220089,0.9
768,0.995268436952007,0.9
769,0.999569081212083,1
770,0.998649752199448,1
771,0.999023713526756,0.9
772,0.991467060432578,0.9
773,0.957249154003718,0.9
774,0.9915229499408,0.9
775,0.998270985086401,0.9
776,0.994238752859443,0.9
777,0.999596313997937,1
778,0.972194613675344,0.9
779,0.936541379239148,0.7
780,0.994306033859786,0.9
781,0.99439111406657,0.9
782,0.936697478279628,0.8
783,0.994847485719697,0.9
784,0.991714469402096,0.9
785,0.981409618833554,0.9
786,0.997543175535062,0.9
787,0.98589021307074,0.9
788,0.997988867664324,0.9
789,0.996615124911271,0.9
790,0.993903059825981,0.9
791,0.958012739960002,0.9
792,0.952336929010357,0.8
793,0.990129984044791,0.9
794,0.99782208909998,0.9
795,0.993942930048407,0.9
796,0.992028091419572,0.9
797,0.98186759241526,0.9
798,0.953709425818959,0.8
799,0.997772073329883,0.9
800,0.999792817237036,1
801,0.999352286877642,1
802,0.994587261321541,0.9
803,0.986511049391374,0.9
804,0.94190855194912,0.8
805,0.998332926324813,0.9
806,0.977600410663291,0.9
807,0.960838897958573,0.9
808,0.994087993580894,0.9
809,0.996564219180852,0.9
810,0.998663457588407,1
811,0.992644299946531,0.9
812,0.996025259209843,0.9
813,0.901109922915197,0.7
814,0.920366884362828,0.7
815,0.97813492083269,0.9
816,0.999547900156419,1
817,0.985725392419104,0.9
818,0.995306349261725,0.9
819,0.967573939683473,0.8
820,0.96492239190008,0.8
821,0.984836322057417,0.9
822,0.986045244158834,0.9
823,0.990150987108391,0.9
824,0.998622163429466,0.9
825,0.983492125987055,0.8
826,0.970352039824656,0.8
827,0.994162928240007,0.9
828,0.99283350551099,0.9
829,0.971654763744013,0.9
830,0.9986534900328,0.9
831,0.990882712485147,0.9
832,0.98426585749101,0.9
833,0.998547228770353,0.9
834,0.999100250114449,1
835,0.998583183167362,0.9
836,0.889062708028225,0.6
837,0.998630707048557,1
838,0.952174244263494,0.8
839,0.962691617356932,0.9
840,0.976858539738864,0.9
841,0.984365889031203,0.9
842,0.991055364787616,0.9
843,0.984877972200487,0.9
844,0.933706677621485,0.8
845,0.986691355352613,0.9
846,0.923855884809232,0.8
847,0.995637236509447,0.9
848,0.988009030605379,0.9
849,0.99491191884701,0.9
850,0.99701863292127,0.9
851,0.985550248227733,0.9
852,0.962255002822954,0.8
853,0.977597206806132,0.9
854,0.999373823917434,1
855,0.990537407880207,0.9
856,0.999504114108577,1
857,0.999459972076605,1
858,0.998518572047984,1
859,0.963982059823845,0.8
860,0.997123114263074,1
861,0.995428451817904,0.9
862,0.991143470859495,0.9
863,0.999432739290751,1
864,0.973369005316267,0.8
865,0.977043295501713,0.9
866,0.986724639868656,1
867,0.985574099164363,0.9
868,0.963829876608781,0.9
869,0.9718418334037,0.9
870,0.960757733577206,0.9
871,0.963912642918728,0.8
872,0.996021521376491,0.9
873,0.94146819958179,0.8
874,0.990721985650992,0.9
875,0.993971230786647,0.9
876,0.976798200429032,0.9
877,0.97294858806015,0.9
878,0.959248360871079,0.9
879,0.9882379284002,0.9
880,0.999619274974245,0.9
881,0.997082354080326,0.9
882,0.996524704942555,0.9
883,0.974602312330507,0.9
884,0.993026626900866,0.9
885,0.997788092615679,0.9
886,0.980118286406319,0.9
887,0.992087362777018,0.9
888,0.99807643976001,1
889,0.99930369504406,1
890,0.996995137968769,0.9
891,0.986456761811731,0.9
892,0.960401037480145,0.9
893,0.996323929893909,0.9
894,0.926397077512696,0.8
895,0.98598846469029,0.9
896,0.933219335349153,0.8
897,0.985966571666369,0.9
898,0.925630643683382,0.8
899,0.981324182642641,0.9
