"Player","Squad","League","Season","Age","cluster","role_profile","scouting_score","progression_index","padj_interceptions","padj_tackles"
"Victor Lindelöf","Manchester Utd","Premier League","2023-2024",29,"1","Standard Build-up Distributor",2.99803034066454,1.45163907614526,0.964257347632654,1.24985540273702
"Tim Ream","Fulham","Premier League","2023-2024",35,"1","Standard Build-up Distributor",2.99618947645178,1.60720749134769,1.34577768934323,1.30664293733505
"Ohis Felix Uduokhai","Augsburg","Bundesliga","2023-2024",25,"1","Standard Build-up Distributor",2.99311030880905,1.4359963762445,1.35169469000895,1.23167618956993
"Yerry Mina","Cagliari","Serie A","2024-2025",29,"2","Limited / Reactive Defender",2.98954157598585,1.21192483800149,1.07806465428474,1.82004425372479
"Eric Dier","Bayern Munich","Bundesliga","2024-2025",30,"1","Standard Build-up Distributor",2.9885461547032,1.83836609559781,1.09051600037784,1.19282431563039
"Mark Mckenzie","Toulouse","Ligue 1","2024-2025",25,"1","Standard Build-up Distributor",2.98467395136653,1.41110562676315,0.873371452932817,1.76801146080712
"Virgil Van Dijk","Liverpool","Premier League","2024-2025",33,"3","High-Intensity Ball-Winner",2.98284751231201,2.12807583554793,1.56521158501794,1.23673257915733
"Christophe Hérelle","Metz","Ligue 1","2023-2024",30,"2","Limited / Reactive Defender",2.97360012329033,0.937294634730237,1.16637856647971,1.88608903058143
"Gian Marco Ferrari","Sassuolo","Serie A","2023-2024",31,"4","Elite Progressive Distributor",2.97277437337817,2.48558309352027,1.00211911720382,1.02537316400573
"Éder Militão","Real Madrid","La Liga","2024-2025",26,"1","Standard Build-up Distributor",2.9701206330806,1.81416917174231,1.06357273205852,1.5691156592787
"Anel Ahmedhodžić","Sheffield Utd","Premier League","2023-2024",24,"2","Limited / Reactive Defender",2.96132657514488,0.810416712167469,1.32077613926481,2.318018018298
"Karol Mets","St Pauli","Bundesliga","2024-2025",31,"1","Standard Build-up Distributor",2.96046893327915,2.02396006734671,1.17129607300048,1.42140699660787
"Sergio Ramos","Sevilla","La Liga","2023-2024",37,"2","Limited / Reactive Defender",2.95445667345906,1.22599938162764,1.31449308664534,1.51674818685319
"Nayef Aguerd","Real Sociedad","La Liga","2024-2025",28,"1","Standard Build-up Distributor",2.94503783159121,1.82436702034746,0.860209372333606,1.60411148231023
"Enzo Boyomo","Osasuna","La Liga","2024-2025",22,"3","High-Intensity Ball-Winner",2.94223818819266,1.39264907445421,1.29281324927263,1.95149650192011
"Nathan Aké","Manchester City","Premier League","2023-2024",28,"4","Elite Progressive Distributor",2.94048500179382,2.18526155474426,0.648710213563174,1.05673949366603
"Nicolas Pallois","Nantes","Ligue 1","2024-2025",36,"2","Limited / Reactive Defender",2.92697553170926,1.00939995549755,1.20569040384758,2.35105583084046
"Rasmus Nicolaisen","Toulouse","Ligue 1","2023-2024",26,"2","Limited / Reactive Defender",2.92237607377577,1.15749902576736,1.24192491529276,1.52214792025407
"Saba Goglichidze","Empoli","Serie A","2024-2025",20,"2","Limited / Reactive Defender",2.92147313591262,0.807333878906492,1.25949877103352,2.26106462756014
"Christopher Wooh","Rennes","Ligue 1","2024-2025",22,"3","High-Intensity Ball-Winner",2.92134758253235,1.60658062475537,1.2874866889048,1.93255976526023
"Fabian Schär","Newcastle Utd","Premier League","2024-2025",32,"1","Standard Build-up Distributor",2.91743703937335,1.51104841535419,1.38526488578797,1.25981704058717
"Norbert Gyömbér","Salernitana","Serie A","2023-2024",31,"2","Limited / Reactive Defender",2.91634608021673,0.961315311630986,1.06359576697845,1.59380358618126
"Pau Navarro","Villarreal","La Liga","2024-2025",19,"1","Standard Build-up Distributor",2.91410336623494,1.52955818916765,0.719771330836273,1.80863562819933
"Arnau Martinez","Girona","La Liga","2023-2024",20,"4","Elite Progressive Distributor",2.91325920111864,2.41407518086066,0.690317807641852,1.30855002278618
"Maximiliano Caufriez","Clermont Foot","Ligue 1","2023-2024",26,"3","High-Intensity Ball-Winner",2.90580078584947,1.68117637481623,0.977757096787871,1.78359148691445
"Javi Rodríguez","Celta Vigo","La Liga","2024-2025",21,"3","High-Intensity Ball-Winner",2.90261476520476,1.86487563749726,1.1663748124311,1.80154393995883
"Jack Robinson","Sheffield Utd","Premier League","2023-2024",29,"2","Limited / Reactive Defender",2.90089937562892,0.914383692316786,1.21160771785148,1.59359596030918
"Matteo Lovato","Salernitana","Serie A","2023-2024",23,"2","Limited / Reactive Defender",2.89904180614032,1.15566695899519,1.30337304354498,1.89164543388475
"Igor Zubeldia","Real Sociedad","La Liga","2024-2025",27,"3","High-Intensity Ball-Winner",2.8980487695835,1.7351382386713,1.25841022762303,1.46586811543084
"Niklas Süle","Dortmund","Bundesliga","2024-2025",28,"1","Standard Build-up Distributor",2.88978302152346,1.8351335043169,0.679755843683711,1.29912473491252
"Nathan Collins","Brentford","Premier League","2024-2025",23,"1","Standard Build-up Distributor",2.887875008582,1.53267328812623,0.985527614727772,1.20041447087541
"Ronald Araújo","Barcelona","La Liga","2023-2024",24,"1","Standard Build-up Distributor",2.88455825016641,1.99983162613359,0.660623550648419,1.19735665439547
"Abdul Mumin","Rayo Vallecano","La Liga","2024-2025",26,"2","Limited / Reactive Defender",2.88371219620002,0.905800220645698,1.16152092489596,1.77279842939389
