Player,Squad,League,Pos,Age,Min,PrgP,PrgC,KP,Cmp%,Tkl,Int,Recov,Crs
Flynn Downes,Southampton,Premier League,MF,25,2151,66,29,15,90.4,49,32,83,4
Illia Zabarnyi,Bournemouth,Premier League,DF,21,3109,140,27,12,82.1,52,41,157,6
Jack Hinshelwood,Brighton,Premier League,"MF,DF",19,1842,68,19,17,83.2,27,16,63,27
Jakub Kiwior,Arsenal,Premier League,DF,24,1122,48,5,5,91.4,22,6,31,2
James Bree,Southampton,Premier League,DF,26,1075,34,13,10,83.5,19,9,65,29
Jan Paul Van Hecke,Brighton,Premier League,DF,24,2958,228,55,15,88.2,45,24,131,11
Joe Aribo,Southampton,Premier League,"MF,DF",28,2013,75,36,16,88.8,47,20,112,10
Jordan Zemura,Udinese,Serie A,DF,24,1415,42,25,11,76.5,31,16,60,39
João Gomes,Wolves,Premier League,MF,23,2974,165,59,23,85,116,25,200,29
Kaoru Mitoma,Brighton,Premier League,"FW,MF",27,2603,89,146,37,75.8,45,14,99,75
Keane Lewis-Potter,Brentford,Premier League,"DF,FW",23,3093,98,98,26,77.1,49,21,146,78
Kobbie Mainoo,Manchester Utd,Premier League,MF,19,1651,65,22,14,86.5,46,19,88,7
Levi Colwill,Chelsea,Premier League,DF,21,3149,131,14,14,89.3,47,33,121,13
Lisandro Martínez,Manchester Utd,Premier League,DF,26,1751,117,23,9,89.4,40,32,81,9
Marcos Senesi,Bournemouth,Premier League,DF,27,1106,62,12,3,76.3,39,14,71,11
Marcus Tavernier,Bournemouth,Premier League,"FW,MF",25,1939,128,53,43,73.8,43,5,119,108
Matheus Nunes,Manchester City,Premier League,"DF,MF",25,1674,79,63,23,86.3,35,15,70,45
Mikkel Damsgaard,Brentford,Premier League,"MF,FW",24,2911,234,73,63,72.4,83,27,179,144
Noni Madueke,Chelsea,Premier League,FW,22,2033,69,154,32,77.4,25,10,84,63
Paul Onuachu,Southampton,Premier League,FW,30,1050,13,7,8,60.8,7,1,19,0
Remo Freuler,Bologna,Serie A,MF,32,3204,208,39,36,87.7,79,38,146,19
Rico Lewis,Manchester City,Premier League,"DF,MF",19,1893,107,39,7,91.5,30,13,95,6
Rodrigo Muniz,Fulham,Premier League,FW,23,964,27,6,7,64.8,10,5,14,1
Ryan Christie,Bournemouth,Premier League,MF,29,2117,137,34,41,79.3,54,30,182,48
Ryan Yates,Nott'ham Forest,Premier League,MF,26,1915,53,18,18,81.5,42,26,104,8
Victor Bernth Kristiansen,Leicester City,Premier League,DF,21,2482,70,40,18,77.4,87,42,99,97
Yasin Ayari,Brighton,Premier League,MF,20,1965,75,30,30,81.5,59,20,118,69
Yehor Yarmoliuk,Brentford,Premier League,MF,20,1450,63,15,9,87,49,13,113,16
Adam Wharton,Crystal Palace,Premier League,MF,20,1318,107,14,26,75.6,34,20,102,39
André Onana,Manchester Utd,Premier League,GK,28,3060,1,0,1,72.6,2,0,34,0
Bart Verbruggen,Brighton,Premier League,GK,21,3240,2,0,1,76.9,0,0,59,0
Beto,Everton,Premier League,FW,26,1534,16,15,12,58.2,14,4,40,4
Calvin Bassey,Fulham,Premier League,DF,24,3074,116,39,3,89.7,54,20,168,8
Cesare Casadei,Torino,Serie A,MF,21,1017,36,14,7,79.6,12,5,41,2
Daniel Muñoz,Crystal Palace,Premier League,DF,28,3228,97,62,46,75.7,123,44,171,74
Destiny Udogie,Tottenham,Premier League,DF,21,1924,121,54,16,87.2,75,22,111,19
Edson Álvarez,West Ham,Premier League,MF,26,1772,85,24,12,85.8,50,18,88,6
Guglielmo Vicario,Tottenham,Premier League,GK,27,2160,1,0,0,87.4,0,1,32,0
Igor,Brighton,Premier League,DF,26,961,49,9,2,91.9,5,4,42,4
Jurriën Timber,Arsenal,Premier League,DF,23,2417,146,57,17,85.6,58,22,94,28
Milos Kerkez,Bournemouth,Premier League,DF,20,3336,159,106,35,75.8,52,45,169,142
Mohammed Kudus,West Ham,Premier League,"FW,MF",23,2590,79,98,31,83.6,38,4,138,81
Morgan Rogers,Aston Villa,Premier League,"FW,MF",22,3114,123,114,51,73.2,43,6,119,27
